 Maintaining 16 concurrent writes of 262144 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_5754
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16     18154     18138   45.3392     8.125  0.014432 0.0882104
   101      16     18939     18923   46.8331    196.25  0.015789 0.0853707
   102      16     18978     18962   46.4695      9.75  0.008908 0.0852213
   103      16     19106     19090    46.329        32  0.010902 0.0859856
   104      16     19512     19496   46.8594     101.5  0.018872 0.0853439
   105      16     19980     19964   47.5272       117  0.013685 0.0841481
   106      16     20586     20570   48.5079     151.5  0.008705 0.0822441
   107      16     20681     20665   48.2765     23.75  0.010628 0.0822597
   108      16     20688     20672   47.8457      1.75  0.048928 0.0823323
   109      16     20688     20672   47.4067         0         - 0.0823323
   110      16     20688     20672   46.9758         0         - 0.0823323
   111      16     20688     20672   46.5526         0         - 0.0823323
   112      16     20849     20833   46.4963   10.0625  0.009893 0.0858965
   113      16     20850     20834    46.087      0.25  0.009206 0.0858928
   114      16     20850     20834   45.6828         0         - 0.0858928
   115      16     20850     20834   45.2855         0         - 0.0858928
   116      16     21390     21374   46.0588        45  0.009064 0.0868366
   117      16     21816     21800   46.5753     106.5  0.014365 0.0857701
   118      16     22458     22442   47.5406     160.5  0.023575 0.0841257
   119      16     22741     22725   47.7355     70.75  0.010312 0.0833007
2013-09-25 07:31:14.642800min lat: 0.006853 max lat: 7.52717 avg lat: 0.0833007
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16     22741     22725   47.3377         0         - 0.0833007
   121      16     22741     22725   46.9465         0         - 0.0833007
   122      16     22741     22725   46.5617         0         - 0.0833007
   123      16     23157     23141   47.0286        26  0.009277 0.0847677
   124      16     23157     23141   46.6493         0         - 0.0847677
   125      16     23157     23141   46.2762         0         - 0.0847677
   126      16     23186     23170   45.9664   2.41667  0.009875 0.0856884
   127      16     23214     23198   45.6596         7  0.010143 0.0865839
   128      16     23452     23436   45.7677      59.5  0.009696 0.0871066
   129      16     23654     23638   45.8043      50.5  0.012512 0.0873078
   130      16     24013     23997   46.1423     89.75  0.008758 0.0862877
   131      16     24077     24061   45.9122        16   0.01031 0.0862836
   132      16     24219     24203   45.8332      35.5  0.009515 0.0872047
   133      16     24301     24285   45.6428      20.5  0.009947 0.0873521
   134      16     25022     25006   46.6471    180.25  0.013147 0.0857402
   135      16     25810     25794   47.7607       197  0.007876 0.0837325
   136      16     26611     26595   48.8817    200.25  0.022346 0.0818153
   137      16     26737     26721   48.7548      31.5  0.010373 0.0815089
   138      16     26816     26800   48.5446     19.75  0.010011 0.0816555
   139      16     27147     27131   48.7906     82.75  0.009874 0.0817466
2013-09-25 07:31:34.645248min lat: 0.006853 max lat: 7.52717 avg lat: 0.0821494
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16     27199     27183   48.5349        13  0.010522 0.0821494
   141      16     27199     27183   48.1907         0         - 0.0821494
   142      16     27210     27194   47.8707     1.375  0.009965 0.0824763
   143      16     27228     27212   47.5674       4.5  0.009451 0.0830414
   144      16     27280     27264   47.3274        13  0.009591 0.0840855
   145      16     27661     27645   47.6578     95.25  0.010529  0.083808
   146      16     28114     28098   48.1069    113.25  0.011937 0.0830684
   147      15     28838     28823   49.0125    181.25  0.008489  0.081602
   148      16     29197     29181    49.286      89.5  0.010551 0.0808433
   149      16     29274     29258   49.0844     19.25  0.010101 0.0812371
   150      16     29327     29311   48.8455     13.25  0.010947 0.0812266
   151      16     29327     29311    48.522         0         - 0.0812266
   152      16     29795     29779   48.9724      58.5  0.224545 0.0816101
   153      16     29955     29939   48.9137        40  0.010823  0.081596
   154      16     29958     29942    48.601      0.75  0.009735 0.0816292
   155      16     29983     29967   48.3277      6.25  0.010824  0.082085
   156      16     29983     29967   48.0179         0         -  0.082085
   157      16     29983     29967   47.7121         0         -  0.082085
   158      16     29983     29967   47.4101         0         -  0.082085
   159      16     29988     29972   47.1198    0.3125  0.011461 0.0822034
2013-09-25 07:31:54.647842min lat: 0.006853 max lat: 7.52717 avg lat: 0.0837324
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16     30042     30026   46.9097      13.5  0.007281 0.0837324
   161      16     30299     30283   47.0173     64.25  0.346067 0.0848986
   162      16     30644     30628   47.2594     86.25  0.012143 0.0843465
   163      16     30872     30856   47.3192        57  0.037456 0.0845219
   164      16     31677     31661   48.2576    201.25  0.009461 0.0828797
   165      16     32499     32483   49.2104     205.5  0.009887 0.0812685
   166      16     32851     32835    49.444        88  0.198261 0.0806267
   167      16     33009     32993   49.3845      39.5  0.008413 0.0807522
   168      16     33044     33028   49.1426      8.75  0.010395 0.0810194
   169      16     33232     33216   49.1299        47  0.009986 0.0814057
   170      16     33429     33413   49.1305     49.25  0.010491 0.0811533
   171      16     33445     33429   48.8666         4  0.009444 0.0813022
   172      16     33475     33459   48.6261       7.5  0.013174 0.0820156
   173      16     33488     33472   48.3638      3.25  0.014465 0.0819879
   174      16     33488     33472   48.0859         0         - 0.0819879
   175      16     33540     33524   47.8854       6.5  0.012122 0.0825405
   176      16     34238     34222   48.6046     174.5  0.050193 0.0822134
   177      16     34349     34333   48.4868     27.75   0.02259  0.082482
   178      16     35032     35016   49.1735    170.75  0.009882 0.0812541
   179      16     35032     35016   48.8988         0         - 0.0812541
2013-09-25 07:32:14.650370min lat: 0.006514 max lat: 7.58878 avg lat: 0.0812541
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16     35032     35016   48.6272         0         - 0.0812541
   181      16     35177     35161   48.5588   12.0833  0.010313 0.0821594
   182      15     35773     35758   49.1119    149.25  0.010524 0.0814352
   183      16     35960     35944   49.0976      46.5  0.011392 0.0811041
   184      16     35960     35944   48.8308         0         - 0.0811041
   185      16     35960     35944   48.5668         0         - 0.0811041
   186      16     35983     35967   48.3366   1.91667  0.017117 0.0823168
   187      16     36037     36021   48.1503      13.5  0.010327 0.0822182
   188      16     36037     36021   47.8942         0         - 0.0822182
   189      16     36147     36131   47.7863     13.75   0.01064 0.0834417
   190      16     36456     36440   47.9413     77.25  0.009736 0.0832282
   191      16     36689     36673   47.9952     58.25  0.011417 0.0833325
   192      16     36843     36827   47.9457      38.5  0.009311 0.0831829
   193      16     36932     36916   47.8126     22.25  0.010866 0.0836455
   194      16     37001     36985   47.6551     17.25  0.010506 0.0835222
   195      16     37001     36985   47.4107         0         - 0.0835222
   196      16     37001     36985   47.1688         0         - 0.0835222
   197      16     37181     37165   47.1577        15  0.047914 0.0847257
   198      16     37962     37946   47.9056    195.25  0.021415  0.083489
   199      16     38191     38175   47.9525     57.25  0.013589 0.0830956
2013-09-25 07:32:34.652918min lat: 0.006514 max lat: 7.58878 avg lat: 0.0830956
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16     38191     38175   47.7127         0         - 0.0830956
   201      16     38272     38256    47.576    10.125   0.00955 0.0839127
   202      16     38676     38660   47.8405       101  0.011354 0.0835017
   203      16     38676     38660   47.6048         0         - 0.0835017
   204      16     38924     38908   47.6753        31  0.009808 0.0838907
   205      16     38991     38975   47.5244     16.75  0.010038 0.0837716
   206      16     38991     38975   47.2937         0         - 0.0837716
   207      16     38991     38975   47.0653         0         - 0.0837716
   208      16     39217     39201   47.1106   18.8333  0.030992 0.0848995
   209      16     39904     39888   47.7069    171.75  0.009781 0.0837829
   210      16     40259     40243   47.9022     88.75  0.009686 0.0833533
   211      16     40262     40246   47.6788      0.75  0.690399 0.0833744
   212      16     40405     40389   47.6225     35.75  0.010297 0.0839536
   213      16     40502     40486   47.5127     24.25  0.010342 0.0840241
   214      16     40587     40571     47.39     21.25  0.009733 0.0843256
   215      16     40672     40656   47.2684     21.25  0.010003 0.0843208
   216      16     40672     40656   47.0496         0         - 0.0843208
   217      16     40695     40679   46.8592     2.875  0.013582 0.0853545
   218      16     40823     40807    46.791        32  0.010122  0.085135
   219      16     40823     40807   46.5774         0         -  0.085135
2013-09-25 07:32:54.655617min lat: 0.006514 max lat: 7.58878 avg lat: 0.0858813
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      15     40991     40976   46.5577    21.125  0.008315 0.0858813
   221      16     41693     41677   47.1399    175.25  0.022527   0.08484
   222      16     42336     42320   47.6516    160.75  0.011339 0.0839314
   223      16     42447     42431   47.5623     27.75  0.353985 0.0840609
   224      16     42815     42799   47.7606        92  0.013478 0.0837441
   225      16     42913     42897   47.6573      24.5  0.963597 0.0836343
   226      16     43051     43035    47.599      34.5  0.361028 0.0838653
   227      16     43078     43062   47.4191      6.75  0.009732    0.0839
   228      16     43126     43110   47.2637        12  0.008513 0.0845819
   229      16     43169     43153   47.1042     10.75   0.04732 0.0846659
   230      16     43451     43435   47.2059      70.5  0.363456 0.0846277
   231      16     43542     43526      47.1     22.75  0.010287 0.0847617
   232      16     43714     43698   47.0823        43  0.008858 0.0849447
   233      15     43987     43972   47.1742      68.5  0.012104 0.0847762
   234      16     44133     44117   47.1275     36.25  0.011661 0.0848359
   235      16     44159     44143   46.9546       6.5  0.009384 0.0849062
   236      16     44190     44174   46.7885      7.75  0.050098 0.0849164
   237      16     44271     44255   46.6765     20.25   0.00924 0.0856903
   238      16     45078     45062   47.3279    201.75  0.011641 0.0845088
   239      16     45439     45423   47.5075     90.25  0.010534 0.0839894
2013-09-25 07:33:14.658442min lat: 0.006514 max lat: 7.58878 avg lat: 0.0839894
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   240      16     45439     45423   47.3095         0         - 0.0839894
   241      15     45600     45585   47.2812     20.25  0.014569 0.0845942
   242      16     45727     45711    47.216      31.5  0.010703 0.0844072
   243      16     45887     45871   47.1863        40   0.01009 0.0847109
   244      16     45905     45889   47.0114       4.5  0.010966 0.0846825
   245      16     45905     45889   46.8195         0         - 0.0846825
   246      16     45905     45889   46.6292         0         - 0.0846825
   247      16     45963     45947   46.4991   4.83333  0.017833 0.0857208
   248      16     45963     45947   46.3116         0         - 0.0857208
   249      16     46415     46399   46.5794      56.5  0.010232 0.0858641
   250      16     46979     46963    46.957       141  0.015891 0.0851747
   251      16     47341     47325   47.1304      90.5    0.0099 0.0846699
   252      16     47739     47723   47.3382      99.5  0.009884 0.0844166
   253      16     47775     47759   47.1866         9   1.02973  0.084742
   254      16     47868     47852   47.0924     23.25  0.009263 0.0847018
   255      16     47874     47858   46.9136       1.5  0.010747 0.0847501
   256      16     47883     47867   46.7391      2.25  0.010833 0.0848827
   257      16     48337     48321   46.9988     113.5  0.009147 0.0851007
   258      16     48583     48567    47.055      61.5  0.014868 0.0849428
   259      16     48685     48669   46.9718      25.5  0.014791 0.0851209
2013-09-25 07:33:34.660995min lat: 0.006514 max lat: 7.58878 avg lat: 0.0848469
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   260      16     48970     48954   47.0651     71.25  0.009425 0.0848469
   261      16     49015     48999   46.9279     11.25  0.010384 0.0849562
   262      16     49148     49132   46.8756     33.25  0.031813 0.0853128
   263      16     49187     49171   46.7345      9.75  0.009627 0.0854053
   264      16     49446     49430   46.8027     64.75  0.010554 0.0854589
   265      16     50151     50135   47.2911    176.25  0.009274 0.0845497
   266      16     50180     50164   47.1405      7.25   1.03191 0.0846396
   267      16     50301     50285   47.0773     30.25   0.01098 0.0849366
   268      16     50388     50372   46.9827     21.75    0.0106 0.0849183
   269      16     50456     50440   46.8713        17  0.009372 0.0851356
   270      16     50545     50529   46.7801     22.25  0.009186 0.0852716
   271      16     50886     50870    46.922     85.25  0.009433 0.0852387
   272      16     51039     51023   46.8901     38.25  0.009878 0.0852382
   273      16     51212     51196   46.8767     43.25  0.009119 0.0852449
   274      16     51346     51330   46.8279      33.5  0.012579 0.0852599
   275      16     51346     51330   46.6576         0         - 0.0852599
   276      16     51377     51361   46.5167     3.875  0.009195 0.0855643
   277      16     51425     51409    46.392        12  0.011485  0.085913
   278      16     51425     51409   46.2252         0         -  0.085913
   279      16     51426     51410   46.0604     0.125   1.34803 0.0859375
2013-09-25 07:33:54.663586min lat: 0.006514 max lat: 7.58878 avg lat: 0.0859375
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   280      16     51426     51410   45.8959         0         - 0.0859375
   281      16     51622     51606   45.9069      24.5  0.031545 0.0871242
   282      16     51959     51943   46.0428     84.25   0.01002 0.0867535
   283      16     52211     52195   46.1027        63  0.008889 0.0867558
   284      16     52983     52967   46.6199       193  0.009411 0.0857909
   285      16     53379     53363   46.8036        99  0.009841 0.0852921
   286      16     53379     53363     46.64         0         - 0.0852921
   287      16     53736     53720   46.7884    44.625  0.009878 0.0854204
   288      16     53738     53722   46.6277       0.5  0.010747 0.0854176
   289      16     53738     53722   46.4663         0         - 0.0854176
   290      16     53954     53938   46.4923        27  0.021521 0.0860301
   291      16     54313     54297   46.6409     89.75  0.009397 0.0856015
   292      16     54353     54337   46.5154        10   1.57181 0.0858359
   293      16     54917     54901   46.8378       141  0.008874 0.0853042
   294      16     54917     54901   46.6785         0         - 0.0853042
   295      16     55396     55380   46.9262    59.875  0.010901 0.0852087
   296      16     55423     55407   46.7904      6.75  0.010488 0.0851933
   297      16     55435     55419    46.643         3  0.287956 0.0853345
   298      16     55476     55460   46.5209     10.25  0.009477  0.085594
   299      16     55519     55503   46.4012     10.75  0.010389 0.0856227
2013-09-25 07:34:14.666239min lat: 0.006514 max lat: 7.58878 avg lat: 0.0856227
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   300      16     55519     55503   46.2465         0         - 0.0856227
   301      16     55519     55503   46.0929         0         - 0.0856227
   302      16     55519     55503   45.9403         0         - 0.0856227
   303      16     55519     55503   45.7887         0         - 0.0856227
   304      16     55519     55503    45.638         0         - 0.0856227
   305      13     55520     55507   45.4917  0.166667   5.54958 0.0860439
   306      13     55520     55507    45.343         0         - 0.0860439
 Total time run:         306.181843
Total writes made:      55520
Write size:             262144
Bandwidth (MB/sec):     45.333 

Stddev Bandwidth:       54.0836
Max bandwidth (MB/sec): 210.75
Min bandwidth (MB/sec): 0
Average Latency:        0.088128
Stddev Latency:         0.435656
Max latency:            11.0416
Min latency:            0.006514
