 Maintaining 16 concurrent writes of 65536 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_39694
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   235      16     61538     61522   16.3586         1  0.005621 0.0609544
   236      16     61832     61816   16.3672    18.375  0.005706 0.0610606
   237      16     62066     62050   16.3598    14.625  0.005806 0.0609939
   238      16     62066     62050   16.2911         0         - 0.0609939
   239      16     62066     62050   16.2229         0         - 0.0609939
2013-09-24 09:22:05.906367min lat: 0.003537 max lat: 17.0093 avg lat: 0.0609939
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   240      16     62066     62050   16.1553         0         - 0.0609939
   241      16     62069     62053   16.0891  0.046875  0.006785 0.0610565
   242      16     62323     62307   16.0882    15.875  0.005414 0.0621384
   243      16     62596     62580   16.0922   17.0625  0.005591 0.0620326
   244      16     63279     63263   16.2012   42.6875  0.005349 0.0617179
   245      16     63742     63726   16.2531   28.9375  0.440711  0.061414
   246      16     64708     64692   16.4324    60.375  0.005575 0.0608238
   247      16     65874     65858   16.6609    72.875  0.074418 0.0600081
   248      16     66248     66232   16.6879    23.375  0.006573  0.059837
   249      16     66248     66232   16.6209         0         -  0.059837
   250      16     66248     66232   16.5545         0         -  0.059837
   251      16     66248     66232   16.4885         0         -  0.059837
   252      16     66306     66290   16.4375   0.90625  0.006369 0.0607579
   253      16     66306     66290   16.3725         0         - 0.0607579
   254      16     66306     66290    16.308         0         - 0.0607579
   255      16     66417     66401   16.2713    2.3125  0.005911 0.0613917
   256      16     66417     66401   16.2077         0         - 0.0613917
   257      16     66463     66447   16.1559    1.4375  0.005592 0.0618023
   258      16     66463     66447   16.0933         0         - 0.0618023
   259      16     66463     66447   16.0311         0         - 0.0618023
2013-09-24 09:22:25.908864min lat: 0.003537 max lat: 17.0093 avg lat: 0.0618023
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   260      16     66463     66447   15.9695         0         - 0.0618023
   261      16     66463     66447   15.9083         0         - 0.0618023
   262      16     66463     66447   15.8476         0         - 0.0618023
   263      16     66463     66447   15.7873         0         - 0.0618023
   264      16     66463     66447   15.7275         0         - 0.0618023
   265      16     66463     66447   15.6682         0         - 0.0618023
   266      16     66463     66447   15.6093         0         - 0.0618023
   267      16     66518     66502   15.5637   0.34375  0.005958 0.0641346
   268      16     66518     66502   15.5056         0         - 0.0641346
   269      16     66522     66506   15.4489     0.125  0.005557 0.0641551
   270      16     66525     66509   15.3924    0.1875  0.005835 0.0641994
   271      16     66787     66771    15.396    16.375   0.00665 0.0649474
   272      16     67759     67743   15.5627     60.75  0.005923 0.0642358
   273      16     67945     67929   15.5483    11.625  0.006264 0.0642003
   274      16     68175     68159    15.544    14.375  0.006231 0.0643138
   275      16     68175     68159   15.4875         0         - 0.0643138
   276      16     68175     68159   15.4314         0         - 0.0643138
   277      16     68175     68159   15.3757         0         - 0.0643138
   278      16     69029     69013   15.5123   13.3438  0.004728 0.0644617
   279      16     70357     70341   15.7542        83  0.004616 0.0634722
2013-09-24 09:22:45.911376min lat: 0.003537 max lat: 17.0093 avg lat: 0.0632668
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   280      16     70647     70631   15.7626    18.125  0.005635 0.0632668
   281      16     70647     70631   15.7065         0         - 0.0632668
   282      16     70647     70631   15.6508         0         - 0.0632668
   283      16     70667     70651      15.6  0.416667  0.194997  0.063877
   284      16     70773     70757   15.5684     6.625  0.044417 0.0641704
   285      16     70773     70757   15.5137         0         - 0.0641704
   286      16     70773     70757   15.4595         0         - 0.0641704
   287      16     70804     70788   15.4124  0.645833  0.005561 0.0648056
   288      16     71158     71142   15.4357    22.125  0.032106 0.0647704
   289      16     71202     71186   15.3918      2.75  0.005555 0.0648138
   290      16     71202     71186   15.3387         0         - 0.0648138
   291      16     71256     71240   15.2976    1.6875  0.005772 0.0653662
   292      16     72165     72149   15.4397   56.8125  0.005962 0.0647182
   293      16     72311     72295   15.4182     9.125  0.006622 0.0648476
   294      16     72373     72357   15.3789     3.875  0.005264 0.0650034
   295      16     72380     72364   15.3283    0.4375  0.005765 0.0650161
   296      16     72498     72482   15.3014     7.375  0.006121 0.0653504
   297      16     73542     73526   15.4695     65.25  0.004952 0.0645133
   298      16     73542     73526   15.4176         0         - 0.0645133
   299      16     73542     73526   15.3661         0         - 0.0645133
2013-09-24 09:23:05.913964min lat: 0.003537 max lat: 17.0093 avg lat: 0.0645133
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   300      16     73542     73526   15.3149         0         - 0.0645133
   301      16     73542     73526    15.264         0         - 0.0645133
 Total time run:         301.159719
Total writes made:      73543
Write size:             65536
Bandwidth (MB/sec):     15.262 

Stddev Bandwidth:       24.9887
Max bandwidth (MB/sec): 119.125
Min bandwidth (MB/sec): 0
Average Latency:        0.0655178
Stddev Latency:         0.507281
Max latency:            17.0093
Min latency:            0.003537
